mid_depth_cm	NO3. ppbw	d15N_corr	D17O_corr
1	326.4462169	62.54197732	31.66253196
3	87.13648759	165.2425924	32.67634442
5	56.41773584	185.7990637	31.94855437
7	60.73679486	175.2730164	30.27353476
9	63.1824925	170.5185499	27.944674
11	68.04154761	168.4667311	28.38514177
13	68.87858872	161.5828431	28.67838574
15	56.9672684	155.3197777	29.11673518
17	50.9135402	149.5864809	29.36819032
19	52.92299745	157.1708637	30.62719923
21	52.64530357	163.9388649	30.79772462
23	37.39718761	191.4775212	29.80716563
25	32.24019971	176.8964675	26.62110425
27	29.36468761	211.4400723	25.87641572
29	48.28433523	244.1945817	24.70660061
31	30.44996235	251.3775908	25.31968064
33	30.36822015	268.8705156	25.62330863
35	36.55312488	268.2720813	26.42888736
37	44.88033348	261.0758747	27.61320384
39	49.35720812	266.1945571	28.17846037
41	44.89423479	227.2813959	29.31682087
43	33.36280194	273.4240364	29.58705211
45	29.79338534	272.6045506	29.22154426
47	33.56404457	277.110688	29.50958871
49	26.11811309	277.439724	27.21876156
