mid_depth_cm	NO3_ppb	d15N_corr	D17O_corr
0.2	nan	39.25527572	30.80368053
1.2	321.0100063	65.13738525	31.12252997
3	104.4044206	160.1040528	31.72820784
5	96.25704323	177.6189667	28.12649713
7	60.19645312	204.5174275	26.112413
9	41.10501793	176.0698295	28.79705079
11	36.67050575	259.300491	25.50606807
13	35.51522742	275.0879152	26.63526514
15	36.30911524	286.4101098	27.21857998
17	39.26099335	295.8620053	27.3504382
19	43.02931086	268.0453155	28.24623109
21	47.36483702	285.511805	28.65036425
23	42.46401398	276.4270947	28.89713706
25	28.94775653	281.1536042	27.80859826
27	19.25173354	nan	nan
29	24.24014219	310.3272314	27.84015952
31	23.16218855	298.3348105	28.72556453
33	22.54046855	301.5866178	27.28000938
35	18.30955448	265.3903922	24.60590134
37	18.42890773	nan	nan
39	21.30403067	nan	nan
41	23.07249645	294.6829752	24.37040965
43	25.2353895	nan	nan
45	27.70741805	321.6690804	27.46808463
47	19.18803368	327.6350539	27.42173424
49	13.21764399	nan	nan
