mid depth (cm)	NO3. ppb	d15N corr	D17O corr
1	1047.30048	78.74029858	30.74255526
3	1232.2208	71.87523092	30.50911087
5	941.91936	66.3645887	30.88003852
7	272.72272	79.31569442	29.71568698
9	131.62496	102.6761391	29.27195952
11	113.1632	106.6565973	29.22996943
13	93.34544	130.5004876	28.43583125
15	45.732	92.71061726	29.76695863
17	95.66336	133.566855	28.28601947
19	87.13408	128.1303563	28.50892249
21	74.74	nan	nan
23	48.24384	nan	nan
25	95.62048	140.9498833	30.11140912
27	78.48464	166.8184978	28.02019513
29	80.5632	181.5607163	28.70732795
31	70.97248	190.654268	27.36812819
33	75.96704	210.9203686	25.3411146
35	63.76512	223.0654492	26.79053025
37	61.2096	215.5318952	25.60664648
39	54.1968	213.0717319	25.8655619
41	59.60544	210.4412017	26.87283214
43	65.59392	236.8676395	27.3403643
45	76.86624	246.8174972	28.12740398
47	72.94736	234.816113	28.05323831
49	74.1352	236.9041891	27.48408329
