d15Ncal	D17Ocal
9.07	29.59
11.78	24.02
-7.19	28.08
13.02	29.08
4.01	31.56
10.83890496	28.63785541
8.876951105	27.96682486
4.538013352	26.97970938
6.015222014	29.63358879
7.31	28.91
2.54	26.31
7.655395261	26.97625072
-3.857087685	25.08555381
-9.019699419	26.64084522
2.730840653	nan
-3.78	26.57
nan	nan
-0.770414784	24.13899787
1.310976781	26.96564529
3.402006498	nan
-5.69	34.12
6.83	27.69
-13.95711894	26.98361988
-6.032889465	32.5048158
2.764128302	35.04519279
1.462883844	35.6044764
1.65	31.53
-1.473313645	34.83851947
1.825013115	nan
4.660515574	34.23513718
0.7	36.64
0.27	35.44
4.402284116	nan
7.163814973	30.36257
nan	nan
nan	nan
nan	nan
7.23	39.1
11.94	41.39
-2.643063277	31.54868769
nan	nan
9.22314693	39.41298621
9.74	42.87
nan	nan
5.61	34.58
8.010463516	nan
5.371660801	34.14951574
7.9852456	40.93188598
12.7877455	39.56940746
3.18	43.79
-11.83	34
-0.441573162	nan
-1.82956725	33.01914815
-23.64003831	29.76037438
-35.11	31.81
-25.88645026	31.06132622
-30.80697	31.68109368
-29.41594976	31.3361381
-23.18	32.43
-13.36	33.13
-25.65444543	30.91198268
-24.35824456	29.46673677
-9.044917335	28.44312154
-1.6	29.28
12.75	27.73
-3.95	29.06
-3.62	30.36
-3.937785016	27.87362922
6.943241317	28.26501797
0.722485834	28.29816884
5.258684538	28.71919578
